"player","position","season","Team","GP","TOI","onGF_60","onGA_60","onG_diff_60","onxGF_60","onxGA_60","onxG_diff_60","onSF_60","onSA_60","onS_diff_60","onFF_60","onFA_60","onF_diff_60","onCF_60","onCA_60","onC_diff_60","onSh_perc","onxGA_per_FA"
"ALEX.STEEN","F","20162017","STL",10,12.52,4.79,4.79,0,1.87,3.83,-1.96,19.17,28.75,-9.58,19.17,52.72,-33.55,33.55,62.3,-28.75,25,0.0727
"ALEX.STEEN","F","20172018","STL",9,10.02,5.99,5.99,0,6.77,4.31,2.46,65.87,23.95,41.92,83.83,35.93,47.9,101.8,59.88,41.92,9.09,0.12
"ALEX.TUCH","F","20172018","VGK",6,5.8,0,0,0,13.55,3.93,9.62,103.45,41.38,62.07,124.14,41.38,82.76,144.83,51.72,93.1,0,0.095
"ALEX.TUCH","F","20182019","VGK",8,5.88,10.2,10.2,0,2.76,1.22,1.53,40.82,10.2,30.61,61.22,10.2,51.02,71.43,20.41,51.02,25,0.12
"ALEX.WENNBERG","F","20162017","CBJ",18,22,5.45,2.73,2.73,4.45,4.45,0,40.91,35.45,5.45,51.82,46.36,5.45,57.27,57.27,0,13.33,0.0959
"ALEX.WENNBERG","F","20172018","CBJ",13,14.27,12.61,4.2,8.41,6.81,4.75,2.06,42.05,33.64,8.41,58.86,50.46,8.41,67.27,58.86,8.41,30,0.0942
"ANDREAS.ATHANASIOU","F","20162017","DET",15,15.05,7.97,7.97,0,6.14,6.66,-0.52,39.87,47.84,-7.97,47.84,67.77,-19.93,63.79,79.73,-15.95,20,0.0982
"ANDREAS.ATHANASIOU","F","20172018","DET",15,13.58,4.42,8.84,-4.42,8.92,7.38,1.55,48.6,44.18,4.42,57.44,57.44,0,61.86,61.86,0,9.09,0.1285
"ANDREAS.ATHANASIOU","F","20182019","DET",16,22.1,8.14,8.14,0,6.76,7.57,-0.81,43.44,48.87,-5.43,54.3,59.73,-5.43,65.16,70.59,-5.43,18.75,0.1268
"ANDREI.MARKOV","D","20162017","MTL",13,9.8,6.12,6.12,0,5.51,7.47,-1.96,36.73,48.98,-12.24,55.1,61.22,-6.12,67.35,61.22,6.12,16.67,0.122
"ANDREJ.SEKERA","D","20162017","EDM",14,17.9,3.35,0,3.35,7.04,1.51,5.53,43.58,13.41,30.17,50.28,16.76,33.52,63.69,26.82,36.87,7.69,0.09
"ANDREW.COGLIANO","F","20172018","ANA",6,5.38,0,22.3,-22.3,0,8.36,-8.36,0,66.91,-66.91,0,78.07,-78.07,0,89.22,-89.22,NA,0.1071
"ANDREW.LADD","F","20162017","NYI",9,8.38,7.16,7.16,0,8.02,7.16,0.86,35.8,35.8,0,64.44,64.44,0,78.76,71.6,7.16,20,0.1111
"ANDREW.MACDONALD","D","20162017","PHI",7,6.75,0,0,0,4.62,1.96,2.67,35.56,17.78,17.78,44.44,26.67,17.78,62.22,26.67,35.56,0,0.0733
"ANDREW.MACDONALD","D","20172018","PHI",8,6.12,0,0,0,2.06,5.98,-3.92,29.41,19.61,9.8,39.22,58.82,-19.61,39.22,68.63,-29.41,0,0.1017
"ANDY.GREENE","D","20162017","N.J",19,22.5,8,2.67,5.33,5.09,5.17,-0.08,29.33,34.67,-5.33,40,50.67,-10.67,40,77.33,-37.33,27.27,0.1021
"ANDY.GREENE","D","20172018","N.J",16,17.7,3.39,6.78,-3.39,4.07,7.08,-3.02,30.51,47.46,-16.95,33.9,61.02,-27.12,50.85,71.19,-20.34,11.11,0.1161
"ANTHONY.BEAUVILLIER","F","20172018","NYI",8,6.87,8.73,17.47,-8.73,13.19,14.06,-0.87,87.34,78.6,8.73,87.34,87.34,0,96.07,104.8,-8.73,10,0.161
"ANTHONY.BEAUVILLIER","F","20182019","NYI",13,14.15,0,4.24,-4.24,8.82,2.5,6.32,63.6,29.68,33.92,67.84,38.16,29.68,97.53,42.4,55.12,0,0.0656
"ANTHONY.CIRELLI","F","20182019","T.B",15,16.2,7.41,0,7.41,4,2.04,1.96,29.63,33.33,-3.7,40.74,44.44,-3.7,48.15,48.15,0,25,0.0458
"ANTHONY.DUCLAIR","F","20162017","ARI",6,6.17,0,9.72,-9.72,4.67,9.92,-5.25,19.45,58.35,-38.9,38.9,87.52,-48.62,58.35,87.52,-29.17,0,0.1133
"ANTHONY.MANTHA","F","20162017","DET",13,15.35,7.82,3.91,3.91,7.66,5.79,1.88,62.54,35.18,27.36,66.45,50.81,15.64,70.36,50.81,19.54,12.5,0.1138
"ANTHONY.MANTHA","F","20172018","DET",15,16.55,0,7.25,-7.25,5,7.5,-2.5,39.88,43.5,-3.63,39.88,54.38,-14.5,47.13,68.88,-21.75,0,0.138
"ANTHONY.MANTHA","F","20182019","DET",15,16.38,7.33,10.99,-3.66,7.07,5.64,1.43,40.29,36.63,3.66,65.93,43.96,21.98,76.92,51.28,25.64,18.18,0.1283
"ANTOINE.VERMETTE","F","20172018","ANA",8,8.85,0,6.78,-6.78,0.61,6.85,-6.24,13.56,47.46,-33.9,13.56,47.46,-33.9,13.56,54.24,-40.68,0,0.1443
"ANTON.STRALMAN","D","20162017","T.B",18,18.6,0,3.23,-3.23,4.13,2.29,1.84,29.03,25.81,3.23,48.39,32.26,16.13,51.61,35.48,16.13,0,0.071
"ANTON.STRALMAN","D","20172018","T.B",14,14.2,8.45,4.23,4.23,5.92,4.27,1.65,42.25,42.25,0,59.15,46.48,12.68,76.06,63.38,12.68,20,0.0918
"ANZE.KOPITAR","F","20162017","L.A",19,21.65,13.86,8.31,5.54,4.99,5.88,-0.89,33.26,33.26,0,49.88,41.57,8.31,77.6,41.57,36.03,41.67,0.1413
"ANZE.KOPITAR","F","20172018","L.A",19,29.5,8.14,2.03,6.1,4.56,3.86,0.69,40.68,26.44,14.24,54.92,32.54,22.37,69.15,34.58,34.58,20,0.1188
"ANZE.KOPITAR","F","20182019","L.A",15,21.38,5.61,2.81,2.81,5.72,4.38,1.35,30.87,36.48,-5.61,42.1,39.29,2.81,53.32,47.71,5.61,18.18,0.1114
"ARTEM.ANISIMOV","F","20162017","CHI",8,6.32,18.99,0,18.99,13.48,4.94,8.54,47.47,47.47,0,47.47,56.96,-9.49,56.96,85.44,-28.48,40,0.0867
"ARTEM.ANISIMOV","F","20172018","CHI",9,8.23,7.29,0,7.29,5.03,7.58,-2.55,29.16,58.32,-29.16,51.03,58.32,-7.29,58.32,58.32,0,25,0.13
"ARTEM.ANISIMOV","F","20182019","CHI",9,8.38,7.16,7.16,0,4.65,11.17,-6.52,42.96,71.6,-28.64,50.12,71.6,-21.48,50.12,85.92,-35.8,16.67,0.156
"ARTEMI.PANARIN","F","20162017","CHI",15,15.67,7.66,7.66,0,9.07,8.65,0.42,49.78,65.09,-15.32,57.43,91.9,-34.46,65.09,107.21,-42.12,15.38,0.0942
"ARTEMI.PANARIN","F","20172018","CBJ",20,28.82,6.25,4.16,2.08,7.1,4.27,2.83,43.72,37.47,6.25,62.46,47.88,14.57,74.95,54.13,20.82,14.29,0.0891
"ARTEMI.PANARIN","F","20182019","CBJ",13,17.98,16.69,10.01,6.67,5.81,3.2,2.6,50.06,26.7,23.36,56.73,36.71,20.02,73.41,46.72,26.7,33.33,0.0873
"ARTTURI.LEHKONEN","F","20172018","MTL",9,7.28,0,8.24,-8.24,4.04,9.07,-5.03,24.73,65.93,-41.21,41.21,82.42,-41.21,49.45,90.66,-41.21,0,0.11
"ARTTURI.LEHKONEN","F","20182019","MTL",8,5.93,0,30.35,-30.35,0.91,8.9,-7.99,0,60.71,-60.71,10.12,80.94,-70.83,10.12,91.06,-80.94,NA,0.11
"AUSTON.MATTHEWS","F","20162017","TOR",19,21.4,8.41,8.41,0,11.05,6.81,4.23,64.49,42.06,22.43,92.52,53.27,39.25,103.74,67.29,36.45,13.04,0.1279
"AUSTON.MATTHEWS","F","20172018","TOR",13,14.65,8.19,8.19,0,7.74,6.55,1.19,45.05,53.24,-8.19,53.24,73.72,-20.48,65.53,81.91,-16.38,18.18,0.0889
"AUSTON.MATTHEWS","F","20182019","TOR",11,12.52,14.38,4.79,9.58,6.37,8.29,-1.92,28.75,47.92,-19.17,57.51,52.72,4.79,57.51,62.3,-4.79,50,0.1573
"BEN.HUTTON","D","20162017","VAN",14,16.12,3.72,11.17,-7.44,3.24,8.34,-5.1,22.33,52.11,-29.78,40.94,67,-26.05,44.67,81.89,-37.22,16.67,0.1244
"BEN.HUTTON","D","20182019","VAN",11,15.57,0,7.71,-7.71,4.08,4.62,-0.54,50.1,42.39,7.71,61.66,57.8,3.85,73.22,80.92,-7.71,0,0.08
"BEN.LOVEJOY","D","20162017","N.J",10,9.23,6.5,0,6.5,3.71,8.84,-5.14,26,58.5,-32.5,26,71.51,-45.5,32.5,84.51,-52,25,0.1236
"BENOIT.POULIOT","F","20172018","BUF",5,5.47,0,10.97,-10.97,3.95,7.79,-3.84,43.88,76.78,-32.91,54.84,87.75,-32.91,54.84,87.75,-32.91,0,0.0888
"BLAKE.COLEMAN","F","20182019","N.J",5,6.35,0,0,0,4.06,4.54,-0.47,18.9,9.45,9.45,37.8,28.35,9.45,47.24,56.69,-9.45,0,0.16
"BLAKE.WHEELER","F","20162017","WPG",13,18.35,6.54,6.54,0,6.34,4.25,2.09,32.7,39.24,-6.54,45.78,52.32,-6.54,55.59,68.66,-13.08,20,0.0812
"BLAKE.WHEELER","F","20172018","WPG",15,23.22,0,5.17,-5.17,5.32,6.49,-1.16,46.51,33.59,12.92,56.85,62.02,-5.17,62.02,67.18,-5.17,0,0.1046
"BLAKE.WHEELER","F","20182019","WPG",12,21.12,11.36,2.84,8.52,6.31,6.79,-0.48,59.66,39.77,19.89,62.5,59.66,2.84,68.18,76.7,-8.52,19.05,0.1138
"BOBBY.RYAN","F","20162017","OTT",9,9.3,0,12.9,-12.9,2.06,8.06,-6,32.26,51.61,-19.35,38.71,70.97,-32.26,45.16,90.32,-45.16,0,0.1136
"BO.HORVAT","F","20162017","VAN",14,14.43,0,16.63,-16.63,5.7,6.2,-0.5,33.26,37.42,-4.16,54.05,74.84,-20.79,62.37,87.32,-24.95,0,0.0828
"BO.HORVAT","F","20172018","VAN",13,12.68,0,14.2,-14.2,5.02,3.79,1.23,42.59,37.85,4.73,47.32,42.59,4.73,70.98,61.51,9.46,0,0.0889
"BO.HORVAT","F","20182019","VAN",24,33.07,5.44,7.26,-1.81,3.32,7.57,-4.25,27.21,56.24,-29.03,38.1,67.13,-29.03,56.24,78.02,-21.77,20,0.1127
"BRAD.MARCHAND","F","20162017","BOS",12,12.6,4.76,0,4.76,5.29,2.1,3.19,33.33,9.52,23.81,61.9,19.05,42.86,85.71,19.05,66.67,14.29,0.11
"BRAD.MARCHAND","F","20172018","BOS",20,23.92,15.05,12.54,2.51,7.1,5.84,1.25,45.15,55.18,-10.03,50.17,65.22,-15.05,60.2,75.25,-15.05,33.33,0.0896
"BRAD.MARCHAND","F","20182019","BOS",19,20.42,8.81,14.69,-5.88,4.73,9.52,-4.79,41.14,55.83,-14.69,52.89,70.52,-17.63,58.77,85.21,-26.44,21.43,0.135
"BRAD.RICHARDSON","F","20182019","ARI",5,5.13,0,11.7,-11.7,2.92,12.63,-9.71,46.78,93.57,-46.78,46.78,105.26,-58.48,81.87,105.26,-23.39,0,0.12
"BRADY.SKJEI","D","20162017","NYR",12,15.05,7.97,0,7.97,5.54,2.03,3.51,31.89,23.92,7.97,55.81,31.89,23.92,63.79,43.85,19.93,25,0.0638
"BRADY.SKJEI","D","20172018","NYR",18,24.57,4.88,4.88,0,4.3,2.71,1.59,24.42,29.3,-4.88,41.51,39.07,2.44,51.28,48.84,2.44,20,0.0694
"BRADY.SKJEI","D","20182019","NYR",21,29.25,2.05,10.26,-8.21,3.57,4.7,-1.13,28.72,32.82,-4.1,34.87,49.23,-14.36,43.08,65.64,-22.56,7.14,0.0954
"BRANDON.CARLO","D","20162017","BOS",11,12.73,4.71,9.43,-4.71,6.27,3.96,2.31,47.13,37.71,9.43,51.85,51.85,0,65.99,51.85,14.14,10,0.0764
"BRANDON.CARLO","D","20172018","BOS",6,6.67,0,0,0,2.97,7.65,-4.68,35.98,44.98,-9,35.98,62.97,-26.99,44.98,71.96,-26.99,0,0.1214
"BRANDON.CARLO","D","20182019","BOS",7,5.18,0,11.58,-11.58,4.17,9.03,-4.86,34.75,46.33,-11.58,46.33,46.33,0,46.33,69.5,-23.17,0,0.195
"BRANDON.DUBINSKY","F","20162017","CBJ",17,15.12,23.81,7.94,15.87,9.88,5.83,4.05,71.43,39.68,31.75,79.37,43.65,35.71,99.21,59.52,39.68,33.33,0.1336
"BRANDON.DUBINSKY","F","20172018","CBJ",8,8.22,14.6,0,14.6,6.93,1.82,5.11,58.39,29.2,29.2,72.99,36.5,36.5,72.99,36.5,36.5,25,0.05
"BRANDON.MONTOUR","D","20172018","ANA",18,25.62,4.68,2.34,2.34,5.2,5.36,-0.16,32.79,46.84,-14.05,39.81,51.52,-11.71,42.15,58.55,-16.39,14.29,0.1041
"BRANDON.MONTOUR","D","20182019","ANA",11,16.68,3.6,3.6,0,8.45,6.19,2.27,32.37,35.97,-3.6,46.76,43.17,3.6,61.15,53.96,7.19,11.11,0.1433
"BRANDON.SAAD","F","20162017","CBJ",17,17.65,6.8,6.8,0,5.3,4.05,1.26,37.39,33.99,3.4,57.79,47.59,10.2,64.59,54.39,10.2,18.18,0.085
"BRANDON.SAAD","F","20172018","CHI",13,11.22,16.04,10.7,5.35,5.35,6.04,-0.7,37.43,64.17,-26.74,48.13,74.87,-26.74,69.52,74.87,-5.35,42.86,0.0807
"BRANDON.SAAD","F","20182019","CHI",15,13.28,9.04,13.55,-4.52,7,10.53,-3.52,49.7,54.22,-4.52,54.22,58.73,-4.52,72.29,72.29,0,18.18,0.1792
"BRANDON.SUTTER","F","20162017","VAN",18,18.87,9.54,0,9.54,5.63,5.06,0.57,44.52,38.16,6.36,54.05,47.69,6.36,60.41,54.05,6.36,21.43,0.106
"BRANDON.SUTTER","F","20172018","VAN",11,8.53,28.14,7.03,21.1,5.06,6.61,-1.55,56.27,49.24,7.03,70.34,63.31,7.03,70.34,70.34,0,50,0.1044
"BRANDON.SUTTER","F","20182019","VAN",6,7.68,0,0,0,4.53,2.89,1.64,39.06,23.44,15.63,54.69,39.06,15.63,62.5,62.5,0,0,0.074
"BRAYDEN.POINT","F","20162017","T.B",13,13.65,4.4,0,4.4,6.37,3.03,3.34,52.75,26.37,26.37,65.93,35.16,30.77,70.33,39.56,30.77,8.33,0.0862
"BRAYDEN.POINT","F","20172018","T.B",15,15.52,7.73,3.87,3.87,6.38,6.07,0.31,50.26,38.66,11.6,57.99,42.53,15.46,77.32,57.99,19.33,15.38,0.1427
"BRAYDEN.POINT","F","20182019","T.B",16,21.17,8.5,2.83,5.67,6.52,4.19,2.32,36.84,36.84,0,59.52,39.68,19.84,68.02,59.52,8.5,23.08,0.1057
"BRAYDEN.SCHENN","F","20162017","PHI",19,21.62,5.55,5.55,0,8.3,6.49,1.8,41.63,44.4,-2.78,61.05,63.83,-2.78,69.38,74.93,-5.55,13.33,0.1017
"BRAYDEN.SCHENN","F","20172018","STL",15,16.5,14.55,3.64,10.91,7.67,5.05,2.62,58.18,32.73,25.45,76.36,47.27,29.09,94.55,76.36,18.18,25,0.1069
"BRAYDEN.SCHENN","F","20182019","STL",12,15.92,7.54,7.54,0,4.15,4.45,-0.3,30.15,26.38,3.77,33.92,48.99,-15.08,41.46,56.53,-15.08,25,0.0908
"BRENDAN.GALLAGHER","F","20162017","MTL",8,8.47,0,14.17,-14.17,4.04,3.19,0.85,28.34,35.42,-7.08,42.5,49.59,-7.08,49.59,56.67,-7.08,0,0.0643
"BRENDAN.GALLAGHER","F","20172018","MTL",8,7.63,0,15.73,-15.73,8.65,10.93,-2.28,62.91,39.32,23.59,62.91,78.64,-15.73,70.77,86.5,-15.73,0,0.139
"BRENDAN.PERLINI","F","20172018","ARI",17,17.53,3.42,3.42,0,4.55,4.69,-0.14,37.65,34.23,3.42,44.5,54.76,-10.27,65.03,61.61,3.42,9.09,0.0856
"BRENT.BURNS","D","20162017","S.J",13,13.93,8.61,8.61,0,5.47,6.03,-0.56,34.46,34.46,0,34.46,51.69,-17.23,43.07,60.3,-17.23,25,0.1167
"BRENT.BURNS","D","20172018","S.J",19,26,2.31,9.23,-6.92,4.22,4.62,-0.39,30,34.62,-4.62,39.23,39.23,0,48.46,53.08,-4.62,7.69,0.1176
"BRENT.BURNS","D","20182019","S.J",11,13.92,4.31,8.62,-4.31,2.07,6.16,-4.09,17.24,47.41,-30.17,21.55,64.66,-43.1,21.55,86.21,-64.66,25,0.0953
"BRENT.SEABROOK","D","20162017","CHI",10,10.05,11.94,5.97,5.97,5.01,7.04,-2.03,41.79,71.64,-29.85,47.76,89.55,-41.79,47.76,113.43,-65.67,28.57,0.0787
"BRENT.SEABROOK","D","20172018","CHI",6,5.22,0,0,0,2.64,11.72,-9.08,22.99,45.98,-22.99,34.48,68.97,-34.48,34.48,80.46,-45.98,0,0.17
"BRETT.HOWDEN","F","20182019","NYR",11,12.08,4.97,4.97,0,3.38,6.11,-2.73,34.77,54.64,-19.87,39.74,64.57,-24.83,39.74,74.5,-34.77,14.29,0.0946
"BRETT.PESCE","D","20162017","CAR",9,6.85,8.76,0,8.76,6.92,4.55,2.36,35.04,43.8,-8.76,61.31,52.55,8.76,61.31,78.83,-17.52,25,0.0867
"BRETT.PESCE","D","20172018","CAR",7,7.8,0,0,0,5,0.31,4.69,46.15,0,46.15,53.85,7.69,46.15,53.85,15.38,38.46,0,0.04
"BRETT.PESCE","D","20182019","CAR",7,7.88,7.61,0,7.61,2.59,5.33,-2.74,22.84,22.84,0,30.46,38.07,-7.61,38.07,45.69,-7.61,33.33,0.14
"BRIAN.DUMOULIN","D","20162017","PIT",10,8.65,0,6.94,-6.94,3.12,4.79,-1.66,34.68,20.81,13.87,41.62,34.68,6.94,48.55,41.62,6.94,0,0.138
"BRIAN.DUMOULIN","D","20172018","PIT",11,9.55,12.57,0,12.57,10.3,5.15,5.15,69.11,43.98,25.13,75.39,75.39,0,75.39,81.68,-6.28,18.18,0.0683
"BRIAN.DUMOULIN","D","20182019","PIT",10,11.7,0,10.26,-10.26,8.82,9.74,-0.92,46.15,61.54,-15.38,56.41,66.67,-10.26,66.67,71.79,-5.13,0,0.1462
"BRIAN.GIBBONS","F","20172018","N.J",7,6.1,9.84,9.84,0,4.13,4.33,-0.2,19.67,29.51,-9.84,19.67,29.51,-9.84,29.51,39.34,-9.84,50,0.1467
"BROCK.BOESER","F","20172018","VAN",9,9.07,0,6.62,-6.62,2.71,2.71,0,33.08,26.46,6.62,39.69,39.69,0,46.31,46.31,0,0,0.0683
"BROCK.BOESER","F","20182019","VAN",20,29.87,10.04,6.03,4.02,5.2,5.3,-0.1,44.19,30.13,14.06,54.24,42.18,12.05,70.3,50.22,20.09,22.73,0.1257
"BROCK.NELSON","F","20162017","NYI",16,12.35,4.86,9.72,-4.86,4.28,9.23,-4.96,34.01,48.58,-14.57,53.44,72.87,-19.43,63.16,82.59,-19.43,14.29,0.1267
