"player","position","season","Team","GP","TOI","onGF_60","onGA_60","onG_diff_60","onxGF_60","onxGA_60","onxG_diff_60","onSF_60","onSA_60","onS_diff_60","onFF_60","onFA_60","onF_diff_60","onCF_60","onCA_60","onC_diff_60","onSh_perc","onxGA_per_FA"
"AARON.EKBLAD","D","20162017","FLA",21,26.98,4.45,4.45,0,4.36,5.54,-1.18,33.36,44.48,-11.12,51.15,57.82,-6.67,68.94,66.72,2.22,13.33,0.0958
"AARON.EKBLAD","D","20172018","FLA",14,16.33,7.35,7.35,0,7.24,8.71,-1.47,40.42,62.46,-22.05,62.46,69.81,-7.35,77.16,73.48,3.67,18.18,0.1247
"AARON.EKBLAD","D","20182019","FLA",19,27.97,8.58,0,8.58,6.74,3.09,3.65,45.05,32.18,12.87,53.63,38.61,15.02,55.77,51.48,4.29,19.05,0.08
"ADAM.HENRIQUE","F","20162017","N.J",20,19.02,6.31,9.46,-3.15,5.9,7.44,-1.55,47.32,56.78,-9.46,53.63,66.25,-12.62,59.94,82.02,-22.08,13.33,0.1124
"ADAM.HENRIQUE","F","20172018","ANA",13,15.88,7.56,7.56,0,5.25,4.12,1.13,26.45,49.12,-22.67,37.78,52.9,-15.11,37.78,60.45,-22.67,28.57,0.0779
"ADAM.HENRIQUE","F","20172018","N.J",8,6.95,8.63,0,8.63,6.04,1.47,4.58,51.8,17.27,34.53,60.43,17.27,43.17,60.43,17.27,43.17,16.67,0.085
"ADAM.HENRIQUE","F","20182019","ANA",11,12.42,9.66,9.66,0,6.38,4.06,2.32,43.48,19.32,24.15,53.14,43.48,9.66,57.97,53.14,4.83,22.22,0.0933
"ADAM.LARSSON","D","20162017","EDM",4,5.38,0,0,0,9.93,7.81,2.12,55.76,44.61,11.15,89.22,55.76,33.46,111.52,55.76,55.76,0,0.14
"ADAM.PELECH","D","20172018","NYI",8,5.43,11.05,0,11.05,2.65,3.76,-1.1,33.15,22.1,11.05,44.2,22.1,22.1,55.25,33.15,22.1,33.33,0.17
"ADRIAN.KEMPE","F","20172018","L.A",13,12.55,4.78,14.34,-9.56,2.49,6.26,-3.78,23.9,43.03,-19.12,28.69,43.03,-14.34,33.47,52.59,-19.12,20,0.1456
"ADRIAN.KEMPE","F","20182019","L.A",11,11.05,10.86,0,10.86,6.46,2.71,3.75,43.44,21.72,21.72,59.73,43.44,16.29,65.16,65.16,0,25,0.0625
"ALEC.MARTINEZ","D","20162017","L.A",17,15.13,19.83,7.93,11.9,4.6,9.12,-4.52,47.59,35.69,11.9,59.48,63.45,-3.97,71.38,67.42,3.97,41.67,0.1437
"ALEC.MARTINEZ","D","20172018","L.A",15,19.32,6.21,9.32,-3.11,3.7,4.04,-0.34,31.06,40.37,-9.32,37.27,40.37,-3.11,55.9,55.9,0,20,0.1
"ALEC.MARTINEZ","D","20182019","L.A",8,9.18,6.54,6.54,0,8.89,2.68,6.21,26.14,19.61,6.54,39.22,26.14,13.07,65.36,52.29,13.07,25,0.1025
"ALEKSANDER.BARKOV","F","20162017","FLA",15,21.9,8.22,0,8.22,5.59,4.16,1.42,32.88,32.88,0,35.62,46.58,-10.96,49.32,60.27,-10.96,25,0.0894
"ALEKSANDER.BARKOV","F","20172018","FLA",14,23.63,2.54,7.62,-5.08,3.2,6.83,-3.63,27.93,45.7,-17.77,38.09,55.86,-17.77,45.7,63.48,-17.77,9.09,0.1223
"ALEKSANDER.BARKOV","F","20182019","FLA",20,33.23,5.42,5.42,0,5.67,4.68,0.99,34.31,46.95,-12.64,41.53,55.97,-14.44,43.33,70.42,-27.08,15.79,0.0835
"ALEX.CHIASSON","F","20182019","EDM",5,6.13,0,9.79,-9.79,4.7,5.77,-1.08,48.94,39.15,9.79,48.94,68.52,-19.58,48.94,68.52,-19.58,0,0.0843
"ALEX.DEBRINCAT","F","20172018","CHI",11,11.93,5.03,5.03,0,3.07,10.56,-7.49,35.21,80.47,-45.26,35.21,95.56,-60.35,65.38,95.56,-30.18,14.29,0.1105
"ALEX.DEBRINCAT","F","20182019","CHI",15,16.35,7.34,0,7.34,6.39,6.31,0.07,55.05,36.7,18.35,58.72,44.04,14.68,66.06,51.38,14.68,13.33,0.1433
"ALEX.EDLER","D","20162017","VAN",10,9.98,0,6.01,-6.01,9.86,3.85,6.01,60.12,42.08,18.04,66.13,54.11,12.02,78.16,60.12,18.04,0,0.0711
"ALEX.EDLER","D","20172018","VAN",16,23.82,7.56,5.04,2.52,3.8,5.11,-1.31,40.3,32.75,7.56,47.86,47.86,0,65.49,57.93,7.56,18.75,0.1068
"ALEX.EDLER","D","20182019","VAN",14,24.35,7.39,2.46,4.93,3.75,5.82,-2.07,24.64,39.43,-14.78,39.43,54.21,-14.78,44.35,61.6,-17.25,30,0.1073
"ALEX.GALCHENYUK","F","20162017","MTL",15,11.3,21.24,10.62,10.62,5.42,8.55,-3.13,42.48,58.41,-15.93,42.48,79.65,-37.17,58.41,90.27,-31.86,50,0.1073
"ALEX.GALCHENYUK","F","20172018","MTL",15,15.87,0,11.34,-11.34,6.96,11.42,-4.46,41.59,60.49,-18.9,49.15,68.05,-18.9,64.27,75.61,-11.34,0,0.1678
"ALEX.GALCHENYUK","F","20182019","ARI",10,10.43,5.75,0,5.75,4.54,9.26,-4.72,46.02,74.78,-28.76,46.02,74.78,-28.76,51.77,97.79,-46.02,12.5,0.1238
"ALEX.GOLIGOSKI","D","20162017","ARI",17,16.38,7.33,7.33,0,6.81,9.05,-2.23,40.29,65.93,-25.64,47.62,87.91,-40.29,58.61,117.22,-58.61,18.18,0.1029
"ALEX.GOLIGOSKI","D","20172018","ARI",16,15.95,7.52,3.76,3.76,7.11,2.11,5,41.38,22.57,18.81,60.19,26.33,33.86,75.24,41.38,33.86,18.18,0.08
"ALEX.GOLIGOSKI","D","20182019","ARI",13,12.38,4.85,0,4.85,1.7,6.59,-4.89,19.39,48.47,-29.08,19.39,63,-43.62,24.23,77.54,-53.31,25,0.1046
"ALEX.IAFALLO","F","20172018","L.A",7,7.35,8.16,0,8.16,6.78,1.22,5.55,57.14,24.49,32.65,73.47,24.49,48.98,97.96,32.65,65.31,14.29,0.05
"ALEX.KERFOOT","F","20172018","COL",7,6.23,0,0,0,4.91,3.85,1.06,19.26,38.52,-19.26,28.89,38.52,-9.63,38.52,48.15,-9.63,0,0.1
"ALEX.KERFOOT","F","20182019","COL",8,7.95,0,15.09,-15.09,0.83,5.66,-4.83,15.09,52.83,-37.74,37.74,75.47,-37.74,45.28,98.11,-52.83,0,0.075
"ALEX.KILLORN","F","20162017","T.B",14,16.05,3.74,0,3.74,4.49,1.27,3.21,41.12,11.21,29.91,52.34,18.69,33.64,56.07,18.69,37.38,9.09,0.068
"ALEX.KILLORN","F","20182019","T.B",9,5.78,20.76,0,20.76,8.1,0.73,7.37,72.66,0,72.66,93.43,10.38,83.04,103.81,20.76,83.04,28.57,0.07
"ALEX.OVECHKIN","F","20162017","WSH",17,16.02,3.75,14.98,-11.24,9.1,8.09,1.01,71.16,56.18,14.98,89.89,63.67,26.22,104.87,71.16,33.71,5.26,0.1271
"ALEX.OVECHKIN","F","20172018","WSH",14,13.63,13.21,4.4,8.8,2.64,5.46,-2.82,26.41,57.23,-30.81,39.62,61.63,-22.01,44.02,66.03,-22.01,50,0.0886
"ALEX.OVECHKIN","F","20182019","WSH",13,19.87,6.04,9.06,-3.02,3.9,5.56,-1.66,18.12,51.33,-33.22,36.24,63.41,-27.18,48.31,84.55,-36.24,33.33,0.0876
"ALEX.PIETRANGELO","D","20162017","STL",12,12.7,4.72,18.9,-14.17,6.28,8.36,-2.08,56.69,70.87,-14.17,61.42,75.59,-14.17,85.04,94.49,-9.45,8.33,0.1106
"ALEX.PIETRANGELO","D","20172018","STL",14,17.47,13.74,6.87,6.87,6.46,6.63,-0.17,51.52,48.08,3.43,68.69,61.82,6.87,75.56,82.43,-6.87,26.67,0.1072
"ALEX.PIETRANGELO","D","20182019","STL",13,19.78,0,6.07,-6.07,7.86,4.49,3.37,48.53,42.47,6.07,54.6,54.6,0,75.83,60.67,15.17,0,0.0822
"ALEX.RADULOV","F","20162017","MTL",17,17.08,10.54,10.54,0,6.15,12.12,-5.97,38.64,77.28,-38.64,49.18,94.85,-45.67,66.74,101.87,-35.13,27.27,0.1278
"ALEX.RADULOV","F","20172018","DAL",16,19.3,6.22,0,6.22,6.28,4.45,1.83,62.18,15.54,46.63,71.5,46.63,24.87,83.94,55.96,27.98,10,0.0953
"ALEX.RADULOV","F","20182019","DAL",8,10.53,17.09,0,17.09,6.04,4.39,1.65,62.68,28.49,34.19,68.38,51.28,17.09,74.07,62.68,11.4,27.27,0.0856
