"player","season","Team","TOI","GA","SA","SV_perc","GA_","FA","xGA","FSV_perc","xFSV_perc","d_FSV_perc","GSAA","GSAx"
"TRISTAN.JARRY","20172018","PIT",1363.94,63,687,90.83,63,931,63.1,93.23,93.22,0.01,-2.69,0.1
"TUUKKA.RASK","20092010","BOS",2557.19,84,1218,93.1,84,1637,100.35,94.87,93.87,1,24.22,16.35
"TUUKKA.RASK","20102011","BOS",1594.37,71,866,91.8,70,1164,68.32,93.99,94.13,-0.14,4.48,-1.68
"TUUKKA.RASK","20112012","BOS",1289.4,44,621,92.91,44,846,47.82,94.8,94.35,0.45,9.75,3.82
"TUUKKA.RASK","20122013","BOS",2104.24,70,980,92.86,70,1358,85.97,94.85,93.67,1.18,16.32,15.97
"TUUKKA.RASK","20132014","BOS",3386.45,115,1641,92.99,113,2212,121.89,94.89,94.49,0.4,26.28,8.89
"TUUKKA.RASK","20142015","BOS",4062.98,156,2011,92.24,155,2741,158.24,94.35,94.23,0.12,15.67,3.24
"TUUKKA.RASK","20152016","BOS",3678.06,157,1855,91.54,155,2632,157.41,94.11,94.02,0.09,0.98,2.41
"TUUKKA.RASK","20162017","BOS",3659.59,137,1604,91.46,137,2278,136.11,93.99,94.03,-0.04,1.85,-0.89
"TUUKKA.RASK","20172018","BOS",3173.07,125,1514,91.74,124,2093,125.73,94.08,93.99,0.08,7.92,1.73
"TUUKKA.RASK","20182019","BOS",2635.15,109,1245,91.24,108,1710,103.9,93.68,93.92,-0.24,3.18,-4.1
"TY.CONKLIN","20072008","PIT",1785.65,73,946,92.28,73,1331,69.7,94.52,94.76,-0.25,13.22,-3.3
"TY.CONKLIN","20082009","DET",2117.18,86,960,91.04,85,1303,78.76,93.48,93.96,-0.48,1.96,-6.24
"TY.CONKLIN","20092010","STL",1451.18,60,764,92.15,59,1047,63.85,94.36,93.9,0.46,7.88,4.85
"TY.CONKLIN","20102011","STL",1285.44,69,583,88.16,69,775,47.62,91.1,93.86,-2.76,-18.19,-21.38
"TY.CONKLIN","20112012","DET",804.44,44,378,88.36,44,516,35.04,91.47,93.21,-1.74,-11.28,-8.96
"VESA.TOSKALA","20072008","TOR",3777.48,173,1796,90.37,169,2485,158.74,93.2,93.61,-0.41,-9.31,-10.26
"VESA.TOSKALA","20082009","TOR",2957.42,163,1472,88.93,163,2109,134.63,92.27,93.62,-1.35,-28.13,-28.37
"VESA.TOSKALA","20092010","TOR",1393.02,85,675,87.41,85,966,63.59,91.2,93.42,-2.22,-25.02,-21.41
"VIKTOR.FASTH","20122013","ANA",1428.3,52,661,92.13,51,944,58.18,94.6,93.84,0.76,6.22,7.18
"VIKTOR.FASTH","20142015","EDM",1336.49,76,681,88.84,76,978,64.27,92.23,93.43,-1.2,-17.87,-11.73
"WADE.DUBIELEWICZ","20072008","NYI",1132.4,51,627,91.87,49,882,61.53,94.44,93.02,1.42,6.15,12.53
"YANN.DANIS","20082009","NYI",1760.1,84,933,91,83,1293,83.42,93.58,93.55,0.03,1.48,0.42
